Fund,Bank Name,City_x,State_x,Closing Date_x,City_y,State_y,Closing Date_y,Population,Total Housing Units,Owner Occupied Units,Owner Occupied Rate,Bachelors or higher,Census Year
10091,Waterford Village Bank,Williamsville,NY,2009-07-24,Williamsville,NY,2009-07-24,416629,168341.0,73475.0,0.4364652698985987,0.346,2010
10082,Temecula Valley Bank,Temecula,CA,2009-07-17,Temecula,CA,2009-07-17,82684,33698.0,19557.0,0.5803608522760995,0.021,2010
10083,Vineyard Bank,Rancho Cucamonga,CA,2009-07-17,Rancho Cucamonga,CA,2009-07-17,2689,,,,,2010
10081,BankFirst,Sioux Falls,SD,2009-07-17,Sioux Falls,SD,2009-07-17,197899,64513.0,40911.0,0.6341512563359323,0.013,2010
10084,First Piedmont Bank,Winder,GA,2009-07-17,Winder,GA,2009-07-17,116250,57348.0,33157.0,0.5781718630117877,0.033,2010
10080,Bank of Wyoming,Thermopolis,WY,2009-07-10,Thermopolis,WY,2009-07-10,2695598,1189053.0,465248.0,0.3912760827313837,0.066,2010
10074,Founders Bank,Worth,IL,2009-07-02,Worth,IL,2009-07-02,21113,,,,,2010
10079,Millennium State Bank of Texas,Dallas,TX,2009-07-02,Dallas,TX,2009-07-02,10789,,,,,2010
10078,First National Bank of Danville,Danville,IL,2009-07-02,Danville,IL,2009-07-02,24685,,,,,2010
10073,The Elizabeth State Bank,Elizabeth,IL,2009-07-02,Elizabeth,IL,2009-07-02,2695598,1189053.0,465248.0,0.3912760827313837,0.066,2010
10075,Rock River Bank,Oregon,IL,2009-07-02,Oregon,IL,2009-07-02,24099,,,,,2010
10077,First State Bank of Winchester,Winchester,IL,2009-07-02,Winchester,IL,2009-07-02,27962,,,,,2010
10076,John Warner Bank,Clinton,IL,2009-07-02,Clinton,IL,2009-07-02,25282,,,,,2010
10072,Mirae Bank,Los Angeles,CA,2009-06-26,Los Angeles,CA,2009-06-26,33027,,,,,2010
10071,MetroPacific Bank,Irvine,CA,2009-06-26,Irvine,CA,2009-06-26,761,,,,,2010
10070,Horizon Bank,Pine City,MN,2009-06-26,Pine City,MN,2009-06-26,7225,,,,,2010
10069,Neighborhood Community Bank,Newnan,GA,2009-06-26,Newnan,GA,2009-06-26,3721,,,,,2010
10068,Community Bank of West Georgia,Villa Rica,GA,2009-06-26,Villa Rica,GA,2009-06-26,1593,,,,,2010
10066,First National Bank of Anthony,Anthony,KS,2009-06-19,Anthony,KS,2009-06-19,19288,,,,,2010
10065,Cooperative Bank,Wilmington,NC,2009-06-19,Wilmington,NC,2009-06-19,81055,35031.0,14615.0,0.41720190688247555,0.052,2010
10067,Southern Community Bank,Fayetteville,GA,2009-06-19,Fayetteville,GA,2009-06-19,12590,,,,,2010
10064,Bank of Lincolnwood,Lincolnwood,IL,2009-06-05,Lincolnwood,IL,2009-06-05,8969,,,,,2010
10063,Citizens National Bank,Macomb,IL,2009-05-22,Macomb,IL,2009-05-22,4576,,,,,2010
10062,Strategic Capital Bank,Champaign,IL,2009-05-22,Champaign,IL,2009-05-22,5209,,,,,2010
10061,"BankUnited, FSB",Coral Gables,FL,2009-05-21,Coral Gables,FL,2009-05-21,33027,,,,,2010
10060,Westsound Bank,Bremerton,WA,2009-05-08,Bremerton,WA,2009-05-08,2895964,1061964.0,464912.0,0.4377850849934649,0.255,2010
10057,America West Bank,Layton,UT,2009-05-01,Layton,UT,2009-05-01,363,193.0,126.0,0.6528497409326425,0.094,2010
10058,Citizens Community Bank,Ridgewood,NJ,2009-05-01,Ridgewood,NJ,2009-05-01,44061,,,,,2010
10059,"Silverton Bank, NA",Atlanta,GA,2009-05-01,Atlanta,GA,2009-05-01,17482,6065.0,4971.0,0.8196207749381699,0.686,2010
10055,First Bank of Idaho,Ketchum,ID,2009-04-24,Ketchum,ID,2009-04-24,5602,,,,,2010
10054,First Bank of Beverly Hills,Calabasas,CA,2009-04-24,Calabasas,CA,2009-04-24,173372,76758.0,47586.0,0.6199484092863284,0.024,2010
10056,Michigan Heritage Bank,Farmington Hills,MI,2009-04-24,Farmington Hills,MI,2009-04-24,127473,58783.0,29892.0,0.5085143663984485,0.077,2010
